,open time,open,high,low,close
197,2018-06-01,0.00000564,0.00000589,0.00000549,0.00000556
198,2018-06-02,0.00000556,0.00000605,0.00000543,0.00000589
199,2018-06-03,0.00000589,0.00000609,0.00000574,0.00000599
200,2018-06-04,0.00000596,0.00000598,0.00000537,0.00000551
201,2018-06-05,0.00000552,0.00000553,0.00000518,0.00000539
202,2018-06-06,0.00000539,0.00000544,0.00000492,0.00000505
203,2018-06-07,0.00000505,0.00000543,0.00000486,0.00000497
204,2018-06-08,0.00000497,0.00000523,0.00000489,0.00000501
205,2018-06-09,0.00000500,0.00000510,0.00000481,0.00000488
206,2018-06-10,0.00000488,0.00000491,0.00000456,0.00000464
207,2018-06-11,0.00000464,0.00000487,0.00000448,0.00000470
208,2018-06-12,0.00000470,0.00000478,0.00000430,0.00000441
209,2018-06-13,0.00000442,0.00000460,0.00000430,0.00000444
210,2018-06-14,0.00000444,0.00000465,0.00000437,0.00000460
211,2018-06-15,0.00000460,0.00000497,0.00000439,0.00000456
212,2018-06-16,0.00000456,0.00000598,0.00000440,0.00000533
213,2018-06-17,0.00000533,0.00000548,0.00000490,0.00000499
214,2018-06-18,0.00000499,0.00000638,0.00000494,0.00000589
215,2018-06-19,0.00000589,0.00000627,0.00000547,0.00000560
216,2018-06-20,0.00000559,0.00000559,0.00000508,0.00000521
217,2018-06-21,0.00000521,0.00000528,0.00000497,0.00000508
218,2018-06-22,0.00000506,0.00000512,0.00000465,0.00000478
219,2018-06-23,0.00000478,0.00000490,0.00000459,0.00000465
220,2018-06-24,0.00000465,0.00000466,0.00000371,0.00000397
221,2018-06-25,0.00000397,0.00000418,0.00000396,0.00000405
222,2018-06-26,0.00000405,0.00000406,0.00000377,0.00000382
223,2018-06-27,0.00000380,0.00000397,0.00000370,0.00000383
224,2018-06-28,0.00000383,0.00000395,0.00000372,0.00000377
225,2018-06-29,0.00000377,0.00000393,0.00000372,0.00000386
226,2018-06-30,0.00000386,0.00000415,0.00000378,0.00000398
227,2018-07-01,0.00000399,0.00000430,0.00000373,0.00000424
228,2018-07-02,0.00000424,0.00000462,0.00000412,0.00000425
229,2018-07-03,0.00000425,0.00000441,0.00000406,0.00000407
230,2018-07-04,0.00000407,0.00000444,0.00000392,0.00000428
231,2018-07-05,0.00000429,0.00000437,0.00000398,0.00000405
232,2018-07-06,0.00000405,0.00000407,0.00000376,0.00000400
233,2018-07-07,0.00000400,0.00000438,0.00000394,0.00000425
234,2018-07-08,0.00000426,0.00000428,0.00000412,0.00000414
235,2018-07-09,0.00000413,0.00000414,0.00000373,0.00000375
236,2018-07-10,0.00000375,0.00000383,0.00000342,0.00000354
237,2018-07-11,0.00000354,0.00000415,0.00000337,0.00000354
238,2018-07-12,0.00000354,0.00000367,0.00000318,0.00000325
239,2018-07-13,0.00000325,0.00000356,0.00000324,0.00000344
240,2018-07-14,0.00000344,0.00000426,0.00000342,0.00000393
241,2018-07-15,0.00000393,0.00000453,0.00000376,0.00000382
242,2018-07-16,0.00000382,0.00000389,0.00000365,0.00000374
243,2018-07-17,0.00000374,0.00000379,0.00000355,0.00000368
244,2018-07-18,0.00000368,0.00000384,0.00000350,0.00000354
245,2018-07-19,0.00000354,0.00000356,0.00000330,0.00000334
246,2018-07-20,0.00000334,0.00000351,0.00000301,0.00000319
247,2018-07-21,0.00000319,0.00000337,0.00000304,0.00000320
248,2018-07-22,0.00000320,0.00000322,0.00000304,0.00000307
249,2018-07-23,0.00000308,0.00000320,0.00000282,0.00000286
250,2018-07-24,0.00000287,0.00000290,0.00000254,0.00000267
251,2018-07-25,0.00000268,0.00000308,0.00000267,0.00000284
252,2018-07-26,0.00000284,0.00000403,0.00000283,0.00000296
253,2018-07-27,0.00000296,0.00000304,0.00000283,0.00000296
254,2018-07-28,0.00000296,0.00000308,0.00000286,0.00000292
255,2018-07-29,0.00000292,0.00000304,0.00000285,0.00000289
256,2018-07-30,0.00000289,0.00000294,0.00000266,0.00000271
257,2018-07-31,0.00000271,0.00000272,0.00000257,0.00000267
258,2018-08-01,0.00000267,0.00000284,0.00000257,0.00000264
259,2018-08-02,0.00000264,0.00000273,0.00000252,0.00000263
260,2018-08-03,0.00000264,0.00000268,0.00000247,0.00000262
261,2018-08-04,0.00000262,0.00000263,0.00000236,0.00000249
262,2018-08-05,0.00000248,0.00000261,0.00000245,0.00000253
263,2018-08-06,0.00000252,0.00000258,0.00000238,0.00000246
264,2018-08-07,0.00000245,0.00000258,0.00000232,0.00000235
